"Reference","Value","Footprint","Datasheet","Description","Qty","#","Sim.Pins"
"J1","Conn_01x03","Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal","","","1","",""
"J2,J3,J4","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","","","3","",""
"R1,R2,R3","100k","Resistor_SMD:R_0805_2012Metric","","","3","",""
